PK,NOMBRE,DESCRIPCION-ENTIDAD,DIAS APERTURA,HORARIO APERTURA,DIAS DE CIERRE,COMENTARIOS,ESPACIOS,SERVICIOS,renfeLine,busLine,metroLine,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL
7902770,Bibliometro,"El Bibliometro es un servicio de extensión bibliotecaria destinado al fomento de la lectura mediante el préstamo gratuito de libros en el Metro de Madrid. Promovido conjuntamente por el Ayuntamiento de Madrid y la Comunidad de Madrid en colaboración con Metro, el Bibliometro es el primer servicio común a los dos sistemas de Bibliotecas Públicas del Ayuntamiento de Madrid y la Comunidad de Madrid. El servicio gestionado por el Ayuntamiento de Madrid se centraliza en el Departamento de Bibliotecas Públicas, localizado en la calle Conde Duque 11. El servicio de Bibliored es similar, pero en superficie.",Apertura de lunes a viernes.,Horario: de 13:30 a 20 horas.,Festivos y los días 24 y 31 de diciembre.,,Datos de localización de los distintos módulos de Bibliometro. ,Préstamo y renovación de libros. Acceda al catálogo de Bibliometro para búsqueda de libros y renovar sus préstamos.,,,,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d2cd4bdf66bb410VgnVCM1000000b205a0aRCRD,CONDE DUQUE,CALLE,V,11,MADRID,MADRID,28015,5,UNIVERSIDAD,1,CENTRO,439759,4475508,40.42803383242307,-3.710173215834519,91 588 57 24,,dbibliotecaspublicas@madrid.es
8053214,Bibliored Centro Cultural Galileo,"El Bibliored es un servicio de extensión bibliotecaria destinado al fomento de la lectura mediante el préstamo gratuito de libros, un proyecto similar al de Bibliometro pero en la superficie. Existen dos módulos: el de el Centro Cultural Galileo y la Sala León Felipe. El servicio, gestionado por el Ayuntamiento de Madrid, se coordina desde el Departamento de Bibliotecas Públicas, localizado en la calle Conde Duque, 9-11.",Apertura de lunes a viernes.,Horario: de 13:30 a 20 horas.,Festivos y los días 24 y 31 de diciembre.,,,Préstamo y renovación de libros. Acceda al catálogo para la búsqueda de libros y renovar sus préstamos.,,,,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=917c40221457d410VgnVCM2000000c205a0aRCRD,GALILEO,CALLE,V,39,MADRID,MADRID,28015,2,ARAPILES,7,CHAMBERI,439741,4476139,40.433719454283505,-3.7104468992841753,91 591 39 01,,dbibliotecaspublicas@madrid.es
11737758,Bibliored Sala León Felipe,"El Bibliored es un servicio de extensión bibliotecaria destinado al fomento de la lectura mediante el préstamo gratuito de libros, un proyecto similar al de Bibliometro pero en la superficie. Existen dos módulos: el de el Centro Cultural Galileo y la Sala León Felipe. El servicio, gestionado por el Ayuntamiento de Madrid, se coordina desde el Departamento de Bibliotecas Públicas, localizado en la calle Conde Duque, 9-11.",Apertura de lunes a viernes.,Horario: de 13:30 a 20 horas.,Festivos y los días 24 y 31 de diciembre.,,,Préstamo y renovación de libros. Acceda al catálogo para la búsqueda de libros y renovar sus préstamos.,,,,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc65a358a3a32810VgnVCM1000001d4a900aRCRD,LEONOR GONGORA,CALLE,V,19,MADRID,MADRID,28021,4,LOS ROSALES,17,VILLAVERDE,441642,4466915,40.35075302554859,-3.6871905881900373,91 588 41 81,,dbibliotecaspublicas@madrid.es
25526,Biblioteca Pública Antonio Mingote (Latina),,Apertura de lunes a sábado.,De lunes a viernes de 9 a 21 horas.  Sábados de 9 a 14 horas.,"Sábados: 16 de abril; todos los sábados de julio, agosto y septiembre; 24 y 31 de diciembre. DOMINGOS: todos; FESTIVOS:1 y 6 de enero; 14 y 15 de abril; 2 y 16 mayo; 25 julio; 15 agosto; 12 octubre; 1 y 9 de noviembre; 6, 8 y 26 de diciembre",,,Wifi gratuito,Renfe: Fanjul ,"Bus: 138, 17.   ",,"Lectura fácil, letra grande, audiodescripción.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c73e995a8bf5d010VgnVCM2000000c205a0aRCRD,RAFAEL FINAT,CALLE,V,51,MADRID,MADRID,28044,7,LAS AGUILAS,10,LATINA,434685,4470157,40.37944226151668,-3.769445829090458,915 093 625,917 068 193,bib.latina@madrid.org
1774,Biblioteca Pública Elena Fortún (Retiro),,Apertura de lunes a sábado.,De lunes a viernes de 9 a 21 horas.  Sábados de 9 a 14 horas.,"Sábados: 16 de abril; todos los sábados de julio, agosto y septiembre; 24 y 31 de diciembre. DOMINGOS: todos; FESTIVOS:1 y 6 de enero; 14 y 15 de abril; 2 y 16 mayo; 25 julio; 15 agosto; 12 octubre; 1 y 9 de noviembre; 6, 8 y 26 de diciembre",Los servicios de préstamo y acceso a internet finalizan 15 minutos antes del cierre de la Biblioteca.,,Wifi gratuito,,"Bus: 156, 56, 10.  ","Metro: Pacífico (líneas 1 y 6), Conde de Casal (línea 6)","Lectura fácil, letra grande, audiodescripción.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=44213d0b5e71c010VgnVCM1000000b205a0aRCRD,DOCTOR ESQUERDO,CALLE,V,189,MADRID,MADRID,28007,2,ADELFAS,3,RETIRO,442942,4472769,40.40356992125351,-3.672414651864732,915 019 146,915 018 130,bib.retiro@madrid.org
1770,Biblioteca Pública Hortaleza,,Apertura de lunes a viernes.,De lunes a jueves: de 9 a 20:30 horas.  Viernes: de 9 a 14:30 horas.,Fines de semana y festivos; del 3 al 7 de enero; 25 y 28 de febrero; del 8 al 18 de abril; 2 de mayo; los meses de julio y agosto; del 22 al 30 de diciembre.,,,,,"Bus: 107, 9.",Metro: Parque de Santa María (línea 4),,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e42e995a8bf5d010VgnVCM2000000c205a0aRCRD,ABERTURA,CALLE,V,2,MADRID,MADRID,28033,4,PINAR DEL REY,16,HORTALEZA,445046,4481138,40.47723185032398,-3.6496247031818596,917 633 284,917 633 284,bib.hortaleza@madrid.org
1771,Biblioteca Pública José Acuña (Moncloa - Aravaca),,Apertura de lunes a sábado.,De lunes a viernes de 9 a 21 horas.  Sala Infantil y juvenil de 15 a 21 horas.  Sábados de 9 a 14 horas.,"Sábados: 16 de abril; todos los sábados de julio, agosto y septiembre; 24 y 31 de diciembre. DOMINGOS: todos; FESTIVOS:1 y 6 de enero; 14 y 15 de abril; 2 y 16 mayo; 25 julio; 15 agosto; 12 octubre; 1 y 9 de noviembre; 6, 8 y 26 de diciembre",Los servicios de préstamo y acceso a internet finalizan 15 minutos antes del cierre de la Biblioteca.,,Wifi gratuito,,"Bus: 62, 74.  ","Metro: Arg&amp;uuml;elles (líneas 3, 4 y 6), Ventura Rodriguez (línea 3)",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9ad995a8bf5d010VgnVCM2000000c205a0aRCRD,QUINTANA,CALLE,V,9,MADRID,MADRID,28008,2,ARGUELLES,9,MONCLOA-ARAVACA,439184,4475503,40.427942010682415,-3.7169600607379985,915 413 619,915 426 939,bib.acuna@madrid.org
123303,Biblioteca Pública José Hierro (Usera),,Apertura de lunes a domingo.,De lunes a viernes de 9 a 21 horas. Fines de semana y festivos de 11 a 19 horas.,"1 y 6 de enero; 1 de mayo; fines de semana y festivos del mes de agosto; 24, 25 y 31 de diciembre",,,Wifi gratuito,,"Bus: 6, 60, 81.",Metro: Plaza Elíptica (líneas 6 y 11),,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=943979262ef5d010VgnVCM1000000b205a0aRCRD,RAFAELA YBARRA,AVENIDA,V,43,MADRID,MADRID,28026,7,PRADOLONGO,12,USERA,439681,4470386,40.38188182427109,-3.7106164073640233,914 229 501,914 691 901,bib.usera@madrid.org
1764,Biblioteca Pública José Luis Sampedro (Chamberí),,Apertura de lunes a sábado.,De lunes a viernes de 9 a 21 horas.  Sábados de 9 a 14 horas.,"Sábados: 16 de abril; todos los sábados de julio, agosto y septiembre; 24 y 31 de diciembre. DOMINGOS: todos; FESTIVOS:1 y 6 de enero; 14 y 15 de abril; 2 y 16 mayo; 25 julio; 15 agosto; 12 octubre; 1 y 9 de noviembre; 6, 8 y 26 de diciembre",,,Wifi gratuito,,"Bus: 16, 61, 3, 37, 5.  ","Metro: Iglesia (línea 1), Alonso Cano (línea 7)","Lectura fácil, letra grande, audiodescripción.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a2279262ef5d010VgnVCM1000000b205a0aRCRD,FELIPE EL HERMOSO,CALLE,V,4,MADRID,MADRID,28010,3,TRAFALGAR,7,CHAMBERI,440662,4476318,40.43539063992494,-3.6996132452669075,914 459 782,914 472 444,bib.chamberi@madrid.org
181101,Biblioteca Pública Luis Martín Santos (Villa de Vallecas),,Apertura de lunes a domingo.,De lunes a viernes de 9 a 21 horas. Fines de semana y festivos de 11 a 19 horas.,"1 y 6 de enero; 1 de mayo; fines de semana y festivos del mes de agosto; 24, 25 y 31 de diciembre",Todos los días los servicios de préstamo y acceso a internet finalizarán 15 minutos antes del cierre.,,Wifi gratuito,,Bus: 58.,Metro: Villa de Vallecas (línea 1),"Lectura fácil, letra grande, audiodescripción.",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=09ac38d60b41c010VgnVCM2000000c205a0aRCRD,ANTONIO MARIA SEGOVIA,PLAZA,V,2,MADRID,MADRID,28031,2,SANTA EUGENIA,18,VILLA DE VALLECAS,447909,4470217,40.38091437280583,-3.613674447421734,912 760 231,,bib.villavallecas@madrid.org
