PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,EQUIPAMIENTO_CLEANED,DEPORTE,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
181447,Campo de Golf del Centro Nacional de Golf,,,,campo de golf,golf,Bus: 67.,,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=198d38d60b41c010VgnVCM2000000c205a0aRCRD,ARROYO DEL MONTE,CALLE,V,5,,,,,MADRID,MADRID,28049,2,FUENTELARREINA,8,FUENCARRAL-EL PARDO,437683,4481905,40.48551,-3.73528,913 769 060,,info@centronacionalgolf.com,CamposGolf, 
4670,Campo de Golf del Club de Golf Olivar de la Hinojosa,,,,campo de golf,golf,Bus:   112.,,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4c383b54d771c010VgnVCM1000000b205a0aRCRD,VIA DE DUBLIN,CALLE,V,,,,,SIN NÚMERO,MADRID,MADRID,28042,5,CORRALEJOS,21,BARAJAS,448286,4479796,40.46897,-3.60937,917 211 889,,go@golfolivar.com,CamposGolf, 
4844,Centro de Natación Mundial 86 (M - 86),"Este centro deportivo es patrimonio de la Comunidad de Madrid. No obstante, desde el año 1988, se mantiene un acuerdo de colaboración con la Federación Madrileña de Natación para el desarrollo de la Campaña de Natación en sus instalaciones.",Apertura de la instalación:   De lunes a viernes 8 a 22 horas. Sábado y domingo de 9 a 11 horas.   Oficina: de lunes a viernes de 9 a 14 horas.,Piscina de 8 calles al aire libre (con cubierta textil). Piscina de 10 calles (con cubierta de hormigón). Piscina de bebés de chapoteo al aire libre. Vaso recepción toboganes. Piscina recreativa infantil al aire libre. Piscina de saltos cubierta. Pileta de calentamiento de saltos/ piscina de bebés cubierta. Piscina de aprendizaje cubierta. Gimnasio musculación. Gimnasio multiusos. Aula del deporte. Vestuarios y duchas. Cafetería-restaurante. Oficinas. Sala de máquinas. Sala de calderas.,piscina,natacion,"Metro: Sainz de Baranda (líneas 6 y 9).  Bus: 15, 215, 143, 156, 30, 56.  Bicimad: Estación 72 (calle Doctor Esquerdo, 99).",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3803b54d771c010VgnVCM1000000b205a0aRCRD,JOSE MARTíNEZ DE VELASCO,CALLE,V,3,,,,,MADRID,MADRID,28007,3,ESTRELLA,3,RETIRO,443405,4474089,40.4155,-3.66709,914 095 351,,cnmundial86@madrid.org,Gimnasios, 
,,,,,gimnasio,musculacion,,,,,,,,,,,,,,,,,,,,,,,,,,,Gimnasios,
4707,Centro Deportivo Municipal  María Jesús Rosa (La Vaguada),,"Horario de uso de las instalaciones deportivas    Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla    De lunes a viernes, de 9 a 20,30 horas.   Cierre completo del centro   Un mes natural en temporada estival  y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","Clases deportivas     Pre-infantiles (0 a 5 años): matronatación y natación.  Infantiles  (6 a 14 años): natación.     Jóvenes y personas adultas (15 a 64 años): acuagim, gimnasia acuática, fitness acuático, natación, natación de compensación y natación embarazadas.    Mayores de 65 años:   natación.     Equipamientos     Superficie total de las instalaciones:  2.075 metros cuadrados.  Unidades deportivas cubiertas:   piscina (vaso de 25 metros y vaso de enseñanza) y sala  de musculación.    Oficina de promoción deportiva:    responsable de la coordinación de Juegos Deportivos Municipales, Torneos y Circuitos Municipales, Copas de Primavera. Además, ofrece información sobre las Escuelas de Promoción Deportiva.    Ayudas técnicas para la accesibilidad: 1 grúa de piscina.",piscina,natacion,"Metro: Barrio del Pilar , Peñagrande.   Bus: 42, 49, 67, 83, 128, 134, 137.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e92942be9971c010VgnVCM1000000b205a0aRCRD,MONFORTE DE LEMOS,AVENIDA,S/N,38,,,,,MADRID,MADRID,28029,4,EL PILAR,8,FUENCARRAL-EL PARDO,439931,4481139,40.47877,-3.7087,914 800 476,,idmlavaguada@madrid.es,Piscinas, 
,,,,,sala de musculacion,musculacion,,,,,,,,,,,,,,,,,,,,,,,,,,,Piscinas,
10183549,Centro Deportivo Municipal Alcántara,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 7 a 23 horas.   Sábados: de 9 a 20 horas. Domingos y festivos: de 9 a 15 horas   Cierre completo del Centro   Los  días 1 de enero, 1 de mayo y 25 de diciembre.","Clases y escuelas deportivas    Pre-infantiles: matronatación.  Escuelas infantiles: bailes, defensa personal y natación.  Jóvenes y personas adultas: natación.  Mayores de 65 años: natación.  Personas con discapacidad: natación.   Equipamientos     Superficie total de las instalaciones: 3.725 metros cuadrados.    Unidades deportivas al aire libre:  piscina (vaso de 16,8 x 8,4 metros) y u nidades auxiliares al aire libre, terrazas (de entrenamiento, ludoteca y solárium).     Unidades deportivas cubiertas: piscinas (vaso de 25 metros y vaso de enseñanza), 5 salas multiusos (actividades y ciclo indoor) y sala fitness.",piscina,natacion,"Metro: Lista, Manuel Becerra.  Bus: 21, 43, 53, 146.  Renfe: Cercanías.  Bicicletas:  El centro dispone de aparca bicicletas exterior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a949235892f28510VgnVCM1000001d4a900aRCRD,ALCANTARA,CALLE,V,26,,,,,MADRID,MADRID,28006,2,GOYA,4,SALAMANCA,442851,4475492,40.4281,-3.67373,917 373 641,,alcantara@viding.es,Gimnasios, 
114782,Centro Deportivo Municipal Alfredo Goyeneche,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.    Horario de taquilla   De lunes a viernes: de 9 a 20,30 horas Sábados y domingos: de 9 a 13,30 horas Festivos, cerrado    Cierre completo del centro  Los fines de semana por la tarde, festivos, semana santa, fines de semana del mes de julio, mes de agosto, y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","Clases y escuelas deportivas     Pre infantiles (4 y 5 años): natación y predeporte.  Infantiles (edad según modalidades): gimnasia rítmica, natación, natación sincronizada y pádel.   Jóvenes y adultos (de 15 a 64 años): acuagim, aeróbic, combinadas, estiramientos, fitness, fitness acuático, GAP (glúteos, abdómen y piernas), marcha nórdica, natación, pádel, pilates y yoga.  Mayores 65 años: actividad física, acuagim, gimnasia acuática, natación, pilates y prevención de caídas.  Personas con discapacidad: natación.   Equipamientos    Superficie total de las instalaciones: 13.505 metros cuadrados.  Unidades deportivas al aire libre: 2 pistas de pádel, 3 pistas de pádel (cristal), 2 pistas de tenis y rocódromo.  Unidades deportivas cubiertas: pabellón polideportivo, piscina (vaso 25 metros y vaso de enseñanza), sala de musculación, 2 salas multiusos y 2 saunas.  Ayudas técnicas para la accesibilidad: 1 ascensor, 1 plataforma y 1 grúa de piscina.  Columna de rescate cardíaco.",pista de padel ,padel,"Bus: 160, 161, 658  Renfe:  Aravaca   Bicicleta: El centro dispone de aparca bicicletas exterior con capacidad para 5 bicicletas.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=789fe8ae8d81c010VgnVCM1000000b205a0aRCRD,ARROYO DE POZUELO,CALLE,V,99,,,,,MADRID,MADRID,28023,7,ARAVACA,9,MONCLOA-ARAVACA,433581,4478234,40.45212,-3.78328,913 571 228,,idmagoyeneche@madrid.es,Gimnasios, 
,,,,,pista de padel ,padel,,,,,,,,,,,,,,,,,,,,,,,,,,,Gimnasios,
,,,,,pista de tenis ,tenis,,,,,,,,,,,,,,,,,,,,,,,,,,,Gimnasios,
