PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,EQUIPAMIENTO_CLEANED,DEPORTE,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
4540130,Instalación Deportiva Básica Camino de la Suerte,,,campo de futbol  (cesped artificial),campo de futbol 11,futbol 11,"Metro: CongostoBus: 54 , 142.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a6fd908b7551110VgnVCM1000000b205a0aRCRD,SUERTE,CAMINO,V,25,,,,,MADRID,MADRID,28031,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,447596,4469654,40.375813783817236,-3.617327043456161,,,,CamposEstadiosFutbol, 
4540130,,,,  campo de futbol  de tierra (proximamente de cesped artificial),campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538305,,,,    unidades deportivas al aire libre:  campo de futbol  de cesped artificial,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538164,Instalación Deportiva Básica Nuestra Señora de la Torre,,, campos de futbol (cesped artificial),campo de futbol 11,futbol 11,"Metro: Villa de VallecasBus: 54 , 58 , 142",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=de89a56418a41110VgnVCM1000000b205a0aRCRD,PUERTO DE REINOSA,TRAVESIA,V,2,,,,,MADRID,MADRID,28031,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,447705,4469952,40.37850528372228,-3.6160557738839376,,,,CamposEstadiosFutbol, 
11359398,Instalación Deportiva Básica Santa Eugenia,,, campos de futbol (cesped artificial),campo de futbol 11,futbol 11,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2a57671143788710VgnVCM1000001d4a900aRCRD,CERRO DE ALMODOVAR,CALLE,V,11,,,,,MADRID,MADRID,28031,2,SANTA EUGENIA,18,VILLA DE VALLECAS,448941,4470114,40.38004993117393,-3.6015066796262865,,,,CamposEstadiosFutbol, 
4642625,Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez,,, campo de futbol,campo de futbol 11,futbol 11,"Metro: Pan Bendito, San Francisco.Bus: 47 , 108 , 118 , 121 , 131 , 155.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=06d068171cef4110VgnVCM1000000b205a0aRCRD,ABRANTES,AVENIDA,V,297,,,,,MADRID,MADRID,28025,7,ABRANTES,11,CARABANCHEL,437625,4469626,40.37480368698169,-3.734643175737238,,,,CamposEstadiosFutbol, 
4556014,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4548436,Instalación Deportiva Municipal Básica Almudena,,, campo de futbol pista polideportiva,campo de futbol 11,futbol 11,"Bus: 70 , 106",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6ed945136891110VgnVCM1000000b205a0aRCRD,NICOLAS SALMERON,CALLE,V,8,,,,,MADRID,MADRID,28017,2,PUEBLO NUEVO,15,CIUDAD LINEAL,446692,4474672,40.41909002674735,-3.6296630675589197,,,,CamposEstadiosFutbol, 
4580352,Instalación Deportiva Municipal Básica Arjona,,, campo de futbol,campo de futbol 11,futbol 11,"Metro: LagunaBus: 31 , 55 , 138 , 139.Renfe: Laguna.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=01aef0716c2b2110VgnVCM1000000b205a0aRCRD,CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN,CALLE,V,11,,,,,MADRID,MADRID,28047,3,LUCERO,10,LATINA,436579,4472630,40.39998426244181,-3.7486569900905633,,,,CamposEstadiosFutbol, 
4549867,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4543101,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4541265,Instalación Deportiva Municipal Básica Barrio El Querol - Spartak de Manoteras,,, campo de futbol ,campo de futbol 11,futbol 11,"Bus: 7 , 29 , 129",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9509f65195a51110VgnVCM1000000b205a0aRCRD,TIJOLA,CALLE,V,1,,,,,MADRID,MADRID,28033,5,APOSTOL SANTIAGO,16,HORTALEZA,444121,4481332,40.480800850285206,-3.659267661643925,,,,CamposEstadiosFutbol, 
4561081,Instalación Deportiva Municipal Básica Barrio Goya,,, campo de futbol,campo de futbol 11,futbol 11,"Bus: 17 , 25 , 50 , 119 , 138.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e904184a5b902110VgnVCM1000000b205a0aRCRD,SEPULVEDA,CALLE,V,9,,,,,MADRID,MADRID,28011,1,LOS CARMENES,10,LATINA,437472,4473065,40.40397057983696,-3.7381774083975357,,,,CamposEstadiosFutbol, 
6308361,Instalación Deportiva Municipal Básica Barrio de Santa Ana - Andrés Navarrete,,,campo de futbol  (cesped artificial),campo de futbol 11,futbol 11,"Metro: FuencarralBus: 66 , 137",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f876d9359e735310VgnVCM2000000c205a0aRCRD,HOSPITALET DE LLOBREGAT,CALLE,V,11,,,,,MADRID,MADRID,28034,6,VALVERDE,8,FUENCARRAL-EL PARDO,441133,4482878,40.49452475361937,-3.6946653699300733,,,,CamposEstadiosFutbol, 
6308361,,,, campo de futbol  (cesped artificial),campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555292,,,,,campo de futbol 11,futbol 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527131,Instalación Deportiva Municipal Básica C. F. Nuestra Señora del Buen Camino,,, campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Bus: 160 , 161 , I.Renfe: Aravaca",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8789e08dc3ee0110VgnVCM1000000b205a0aRCRD,RIO ZANCARA,GLORIETA,V,1,,,,,MADRID,MADRID,28023,7,ARAVACA,9,MONCLOA-ARAVACA,434004,4478507,40.452725617488625,-3.7796095540530086,,,,CamposEstadiosFutbol, 
4663799,Instalación Deportiva Municipal Básica Campo Aragón,,, campo de futbolvestuario,campo de futbol 11,futbol 11,"Metro: Miguel HernándezBus: 54 , 58 , 103 , 142 , 143 , 144",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cba58203c8485110VgnVCM1000000b205a0aRCRD,RAFAEL ALBERTI,AVENIDA,V,2,,,,,MADRID,MADRID,28038,4,PALOMERAS SURESTE,13,PUENTE DE VALLECAS,446016,4471719,40.39244393012934,-3.6373799409076795,,,,CamposEstadiosFutbol, 
4660583,Instalación Deportiva Municipal Básica Campo Fútbol Puerta Bonita,,, campo de futbol,campo de futbol 11,futbol 11,"Metro: OportoBus: 34 , 35 , 81 , 55 , 108 , 118.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=be23d10fd4f65110VgnVCM1000000b205a0aRCRD,GENERAL RICARDOS,CALLE,V,166,,,,,MADRID,MADRID,28025,4,VISTA ALEGRE,11,CARABANCHEL,437797,4471076,40.3879590752267,-3.7328892106296774,,,,CamposEstadiosFutbol, 
4629951,Instalación Deportiva Municipal Básica Campo de Fútbol Rodríguez Sahagún,,,campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Bus: 49 , 128",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc3fdfd39c794110VgnVCM1000000b205a0aRCRD,CAPITAN BLANCO ARGIBAY,CALLE,V,S/N,,,,c/v Cº del Chorrillo,MADRID,MADRID,28029,5,VALDEACEDERAS,6,TETUAN,439791,4480281,40.469137606839034,-3.7115353164247873,,,,CamposEstadiosFutbol, 
4542543,Instalación Deportiva Municipal Básica Campo de Fútbol San Martín de Porres,,, campo de futbol,campo de futbol 11,futbol 11,"Bus: 17, 25",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=417aa1c3a9e61110VgnVCM1000000b205a0aRCRD,ERMITA DEL SANTO,PASEO,V,S/N,,,,Parque de San Isidro,MADRID,MADRID,28019,3,SAN ISIDRO,11,CARABANCHEL,437813,4472356,40.39949108577098,-3.732825709268183,,,,CamposEstadiosFutbol, 
4664929,Instalación Deportiva Municipal Básica Campo de Fútbol Tierra,,, campo de futbol,campo de futbol 11,futbol 11,"Metro: ArtillerosBus: 30 , 32 , 71",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4ba3fa5ace85110VgnVCM1000000b205a0aRCRD,DOCTOR GARCIA TAPIA,AVENIDA,V,113,,,,,MADRID,MADRID,28030,3,MARROQUINA,14,MORATALAZ,445569,4473842,40.41154005341027,-3.6428284510152453,,,,CamposEstadiosFutbol, 
11386717,Instalación Deportiva Municipal Básica Campo de fútbol Orcasitas,,, campo de futbol (cesped artificial),campo de futbol 11,futbol 11,"Bus: 6 , 60 , 131. Renfe: Orcasitas.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=94d96bdaa0149710VgnVCM1000001d4a900aRCRD,RAFAELA YBARRA,AVENIDA,V,119,,,,,MADRID,MADRID,28041,1,ORCASITAS,12,USERA,439542,4468758,40.36720552010195,-3.71208812822708,,,,CamposEstadiosFutbol, 
