PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
181447,Campo de Golf del Centro Nacional de Golf,,,,Bus: 67.,,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=198d38d60b41c010VgnVCM2000000c205a0aRCRD,ARROYO DEL MONTE,CALLE,V,5,,,,,MADRID,MADRID,28049,2,FUENTELARREINA,8,FUENCARRAL-EL PARDO,437683,4481905,40.48550817,-3.735278975,913 769 060,,info@centronacionalgolf.com,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposGolf, 
4670,Campo de Golf del Club de Golf Olivar de la Hinojosa,,,,Bus:   112.,,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4c383b54d771c010VgnVCM1000000b205a0aRCRD,VIA DE DUBLIN,CALLE,V,,,,,SIN NÚMERO,MADRID,MADRID,28042,5,CORRALEJOS,21,BARAJAS,448286,4479796,40.46896569,-3.609367088,917 211 889,,go@golfolivar.com,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposGolf, 
56494,Campos de Fútbol Ernesto Cotorruelo,Sede de la Real Federación de Fútbol de Madrid.,,,"Metro: Abrantes (línea 11).  Bus: 116, E1.",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=250f8ed67151c010VgnVCM2000000c205a0aRCRD,VIA LUSITANA,CALLE,V,5,,,,,MADRID,MADRID,28025,7,ABRANTES,11,CARABANCHEL,438529,4470323,40.38123067,-3.724179235,917 791 610 (Real Federación de Fútbol de Madrid),,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol, 
7381184,Centro Comercial Dreams - Palacio Municipal de Hielo,,,,"Metro: Canillas (línea 4).  Bus: 120, 112, 122, 153.",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c599006aee194410VgnVCM1000000b205a0aRCRD,SILVANO,CALLE,V,77,,,,,MADRID,MADRID,28043,3,CANILLAS,16,HORTALEZA,446103,4479332,40.46291274,-3.635733712,917 251 494,,gerencia@palaciodehielo.com,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje, 
7081762,Centro de Alto Rendimiento del Consejo Superior de Deportes,,,,"Bus: 46, U, 160, 161.  Bicimad: Estación 257 (avenida Juan de Herrera frente a la calle Paul Guinard).",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f89ceab48fb0410VgnVCM1000000b205a0aRCRD,MARTIN FIERRO,CALLE,V,5,,,,,MADRID,MADRID,28040,3,CIUDAD UNIVERSITARIA,9,MONCLOA-ARAVACA,437920,4476498,40.43681199,-3.731957405,915 896 745,915 896 847,car.madrid@csd.gob.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CentrosAltoRendimientoDeportivo, 
4844,Centro de Natación Mundial 86 (M - 86),"Este centro deportivo es patrimonio de la Comunidad de Madrid. No obstante, desde el año 1988, se mantiene un acuerdo de colaboración con la Federación Madrileña de Natación para el desarrollo de la Campaña de Natación en sus instalaciones.",Apertura de la instalación:   De lunes a viernes 8 a 22 horas. Sábado y domingo de 9 a 11 horas.   Oficina: de lunes a viernes de 9 a 14 horas.,"piscina, gimnasio","Metro: Sainz de Baranda (líneas 6 y 9).  Bus: 15, 215, 143, 156, 30, 56.  Bicimad: Estación 72 (calle Doctor Esquerdo, 99).",,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3803b54d771c010VgnVCM1000000b205a0aRCRD,JOSE MARTíNEZ DE VELASCO,CALLE,V,3,,,,,MADRID,MADRID,28007,3,ESTRELLA,3,RETIRO,443405,4474089,40.41550175,-3.66708794,914 095 351,,cnmundial86@madrid.org,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4707,Centro Deportivo Municipal  María Jesús Rosa (La Vaguada),,"Horario de uso de las instalaciones deportivas    Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla    De lunes a viernes, de 9 a 20,30 horas.   Cierre completo del centro   Un mes natural en temporada estival  y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","piscina, sala de musculación","Metro: Barrio del Pilar , Peñagrande.   Bus: 42, 49, 67, 83, 128, 134, 137.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e92942be9971c010VgnVCM1000000b205a0aRCRD,MONFORTE DE LEMOS,AVENIDA,S/N,38,,,,,MADRID,MADRID,28029,4,EL PILAR,8,FUENCARRAL-EL PARDO,439931,4481139,40.47876758,-3.708699328,914 800 476,,idmlavaguada@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Piscinas, 
10183549,Centro Deportivo Municipal Alcántara,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 7 a 23 horas.   Sábados: de 9 a 20 horas. Domingos y festivos: de 9 a 15 horas   Cierre completo del Centro   Los  días 1 de enero, 1 de mayo y 25 de diciembre.",piscina,"Metro: Lista, Manuel Becerra.  Bus: 21, 43, 53, 146.  Renfe: Cercanías.  Bicicletas:  El centro dispone de aparca bicicletas exterior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a949235892f28510VgnVCM1000001d4a900aRCRD,ALCANTARA,CALLE,V,26,,,,,MADRID,MADRID,28006,2,GOYA,4,SALAMANCA,442851,4475492,40.42810292,-3.673731721,917 373 641,,alcantara@viding.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
114782,Centro Deportivo Municipal Alfredo Goyeneche,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.    Horario de taquilla   De lunes a viernes: de 9 a 20,30 horas Sábados y domingos: de 9 a 13,30 horas Festivos, cerrado    Cierre completo del centro  Los fines de semana por la tarde, festivos, semana santa, fines de semana del mes de julio, mes de agosto, y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","pistas de pádel, pistas de pádel (cristal) , pistas de tenis, piscina, pabellón polideportivo, sala de musculación","Bus: 160, 161, 658  Renfe:  Aravaca   Bicicleta: El centro dispone de aparca bicicletas exterior con capacidad para 5 bicicletas.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=789fe8ae8d81c010VgnVCM1000000b205a0aRCRD,ARROYO DE POZUELO,CALLE,V,99,,,,,MADRID,MADRID,28023,7,ARAVACA,9,MONCLOA-ARAVACA,433581,4478234,40.45212135,-3.783283204,913 571 228,,idmagoyeneche@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4696,Centro Deportivo Municipal Aluche,,"Horario de uso de las instalaciones deportivas Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a domingos y festivos de 8,30 a 20,30 horas.    Cierre completo del centro      Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","pista de atletismo, pista de hockey, pistas de pádel, pista de patinaje, pistas de tenis, pistas de vole, piscina, pabellón polideportivo, sala de musculación","Metro: Aluche  Bus: 17, 34, 139  Renfe: Fanjul   Bicicletas:  el centro dispone de aparca bicicletas exterior  con capacidad para 6 bicicletas.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD,DE LAS AGUILAS,AVENIDA,V,14,,,,,MADRID,MADRID,28044,7,LAS AGUILAS,10,LATINA,434332,4470525,40.38272052,-3.773653601,917 062 868,,idmaluche@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
