,ID,TIPO,UBICACION,HORARIO
0,Contenedor de pilas-431537-4479849,CONTENEDOR DE PILAS,431537.0-4479849.0,24 horas
1,Contenedor de pilas-432374.5313-4470135.5,CONTENEDOR DE PILAS,432374.5313-4470135.5,24 horas
2,Contenedor de pilas-432683.7188-4470495,CONTENEDOR DE PILAS,432683.7188-4470495.0,24 horas
3,Contenedor de pilas-432918.625-4470724.5,CONTENEDOR DE PILAS,432918.625-4470724.5,24 horas
4,Contenedor de pilas-433319.5313-4470562.5,CONTENEDOR DE PILAS,433319.5313-4470562.5,24 horas
5,Contenedor de pilas-433387-4479245,CONTENEDOR DE PILAS,433387.0-4479245.0,24 horas
6,Contenedor de pilas-433423-4470522,CONTENEDOR DE PILAS,433423.0-4470522.0,24 horas
7,Contenedor de pilas-433525-4478547,CONTENEDOR DE PILAS,433525.0-4478547.0,24 horas
8,Contenedor de pilas-433565-4470890,CONTENEDOR DE PILAS,433565.0-4470890.0,24 horas
9,Contenedor de pilas-433580.9688-4470220.5,CONTENEDOR DE PILAS,433580.9688-4470220.5,24 horas
10,Contenedor de pilas-433620.8438-4478862,CONTENEDOR DE PILAS,433620.8438-4478862.0,24 horas
11,Contenedor de pilas-433693.875-4478080,CONTENEDOR DE PILAS,433693.875-4478080.0,24 horas
12,Contenedor de pilas-433716-4470745,CONTENEDOR DE PILAS,433716.0-4470745.0,24 horas
13,Contenedor de pilas-433862-4470601,CONTENEDOR DE PILAS,433862.0-4470601.0,24 horas
14,Contenedor de pilas-433868-4470296,CONTENEDOR DE PILAS,433868.0-4470296.0,24 horas
15,Contenedor de pilas-433874.2188-4470206.5,CONTENEDOR DE PILAS,433874.2188-4470206.5,24 horas
16,Contenedor de pilas-433921-4472039,CONTENEDOR DE PILAS,433921.0-4472039.0,24 horas
17,Contenedor de pilas-434062.5-4479132.5,CONTENEDOR DE PILAS,434062.5-4479132.5,24 horas
18,Contenedor de pilas-434088-4469929,CONTENEDOR DE PILAS,434088.0-4469929.0,24 horas
19,Contenedor de pilas-434118.4688-4480464,CONTENEDOR DE PILAS,434118.4688-4480464.0,24 horas
20,Contenedor de pilas-434120.7813-4470632,CONTENEDOR DE PILAS,434120.7813-4470632.0,24 horas
21,Contenedor de pilas-434158.3438-4470331,CONTENEDOR DE PILAS,434158.3438-4470331.0,24 horas
22,Contenedor de pilas-434252-4470094,CONTENEDOR DE PILAS,434252.0-4470094.0,24 horas
23,Contenedor de pilas-434280-4470623,CONTENEDOR DE PILAS,434280.0-4470623.0,24 horas
24,Contenedor de pilas-434312-4472570,CONTENEDOR DE PILAS,434312.0-4472570.0,24 horas
25,Contenedor de pilas-434314-4470347,CONTENEDOR DE PILAS,434314.0-4470347.0,24 horas
26,Contenedor de pilas-434355.2813-4470379,CONTENEDOR DE PILAS,434355.2813-4470379.0,24 horas
27,Contenedor de pilas-434388-4478421,CONTENEDOR DE PILAS,434388.0-4478421.0,24 horas
28,Contenedor de pilas-434391.1875-4470290.5,CONTENEDOR DE PILAS,434391.1875-4470290.5,24 horas
29,Contenedor de pilas-434408-4472329,CONTENEDOR DE PILAS,434408.0-4472329.0,24 horas
30,Contenedor de pilas-434412.6563-4469682.5,CONTENEDOR DE PILAS,434412.6563-4469682.5,24 horas
31,Contenedor de pilas-434477-4470047,CONTENEDOR DE PILAS,434477.0-4470047.0,24 horas
32,Contenedor de pilas-434495.5625-4469893,CONTENEDOR DE PILAS,434495.5625-4469893.0,24 horas
33,Contenedor de pilas-434541.8438-4471946,CONTENEDOR DE PILAS,434541.8438-4471946.0,24 horas
34,Contenedor de pilas-434543.4688-4470190.5,CONTENEDOR DE PILAS,434543.4688-4470190.5,24 horas
35,Contenedor de pilas-434559.75-4470747.5,CONTENEDOR DE PILAS,434559.75-4470747.5,24 horas
36,Contenedor de pilas-434626-4470746,CONTENEDOR DE PILAS,434626.0-4470746.0,24 horas
37,Contenedor de pilas-434678-4470306,CONTENEDOR DE PILAS,434678.0-4470306.0,24 horas
38,Contenedor de pilas-434785-4472562,CONTENEDOR DE PILAS,434785.0-4472562.0,24 horas
39,Contenedor de pilas-434803-4470107,CONTENEDOR DE PILAS,434803.0-4470107.0,24 horas
40,Contenedor de pilas-434862.25-4472226,CONTENEDOR DE PILAS,434862.25-4472226.0,24 horas
41,Contenedor de pilas-434877.4688-4472198,CONTENEDOR DE PILAS,434877.4688-4472198.0,24 horas
42,Contenedor de pilas-434883-4479558,CONTENEDOR DE PILAS,434883.0-4479558.0,24 horas
43,Contenedor de pilas-434898.25-4472048,CONTENEDOR DE PILAS,434898.25-4472048.0,24 horas
44,Contenedor de pilas-434915.4375-4470825.5,CONTENEDOR DE PILAS,434915.4375-4470825.5,24 horas
45,Contenedor de pilas-434921.5938-4472103.5,CONTENEDOR DE PILAS,434921.5938-4472103.5,24 horas
46,Contenedor de pilas-434931-4478346,CONTENEDOR DE PILAS,434931.0-4478346.0,24 horas
47,Contenedor de pilas-434937-4470592,CONTENEDOR DE PILAS,434937.0-4470592.0,24 horas
48,Contenedor de pilas-435015-4471679,CONTENEDOR DE PILAS,435015.0-4471679.0,24 horas
49,Contenedor de pilas-435023.8125-4478815,CONTENEDOR DE PILAS,435023.8125-4478815.0,24 horas
50,Contenedor de pilas-435044-4470135,CONTENEDOR DE PILAS,435044.0-4470135.0,24 horas
51,Contenedor de pilas-435059.7188-4470144,CONTENEDOR DE PILAS,435059.7188-4470144.0,24 horas
52,Contenedor de pilas-435067.7813-4480253.5,CONTENEDOR DE PILAS,435067.7813-4480253.5,24 horas
53,Contenedor de pilas-435078.4063-4469247.5,CONTENEDOR DE PILAS,435078.4063-4469247.5,24 horas
54,Contenedor de pilas-435093-4469610,CONTENEDOR DE PILAS,435093.0-4469610.0,24 horas
55,Contenedor de pilas-435116.25-4471406,CONTENEDOR DE PILAS,435116.25-4471406.0,24 horas
