TIPORESIDUO,TIPOCONTENEDOR
Arena de gato o similar,RESTO
Bolsas biodegradables,ORGACNICA
Briks,ENVASES
Papel: todo tipo de papel y cartón que no se encuentren manchados de grasa o pintura,PAPEL-CARTON
Botellas de vidrio,VIDRIO
Aceite vegetal de cocina,PUNTO LIMPIO FIJO
Aceite vegetal de cocina (5 Litros),PUNTO LIMPIO MÓVIL
Aceite vegetal de cocina (5 Litros),PUNTO LIMPIO DE PROXIMIDAD
Pilas alcalinas/salinas y de botón usadas,MARQUESINA PARADAS AUTOBÚS
Ropa y calzado usados,CONTENEDOR DE RESIDUOS TEXTILES
Excrementos de animales domésticos,RESTO
"Servilletas y papel manchadas de grasa, aceite o restos de comida",ORGACNICA
Envases de plástico para alimentación,ENVASES
"Todo tipo de envases de cartón o papel, como cajas de zapatos, cereales…",PAPEL-CARTON
"Tarros de vidrio de conservas, mermeladas o salsas",VIDRIO
Ropa y calzado usado,PUNTO LIMPIO FIJO
Ropa y calzado usado,PUNTO LIMPIO MÓVIL
Ropa y calzado usado,PUNTO LIMPIO DE PROXIMIDAD
"Bolsos, cinturones y complementos de vestir",CONTENEDOR DE RESIDUOS TEXTILES
Bombilla convencional y halógena,RESTO
Restos de frutas y verduras,ORGACNICA
Envases de plástico de productos de aseo y limpieza,ENVASES
"Hojas, cuadernos, sobres (con sellos pegados inclusive), periódicos, revistas, y demás productos de papel y cartón",PAPEL-CARTON
Frascos de vidrio con roll-on o atomizador,VIDRIO
Cápsulas de café,PUNTO LIMPIO FIJO
Cápsulas de café,PUNTO LIMPIO MÓVIL
Cápsulas de café,PUNTO LIMPIO DE PROXIMIDAD
Muñecos de peluche,CONTENEDOR DE RESIDUOS TEXTILES
Cerámica y porcelana,RESTO
Frutos secos,ORGACNICA
Envases de cosméticos de plástico,ENVASES
Billetes de metro ,PAPEL-CARTON
Envases de cosméticos de vidrio,VIDRIO
Radiografías (50 unidades),PUNTO LIMPIO FIJO
Radiografías (50 unidades),PUNTO LIMPIO MÓVIL
Radiografías (50 unidades),PUNTO LIMPIO DE PROXIMIDAD
"Guantes de látex, nitrilo",RESTO
Restos de comidas,ORGACNICA
"Envases de metales: aerosoles vacíos: desodorantes, limpiadores domésticos..., botes de bebidas, latas de conserva, platos y bandejas de aluminio, chapas y tapas de metal…",ENVASES
Servilletas manchadas de polvo o húmedas de agua (sin manchar),PAPEL-CARTON
"Frascos de colonia, esmaltes de uñas…",VIDRIO
Aerosoles (10 unidades),PUNTO LIMPIO FIJO
Aerosoles (5 unidades),PUNTO LIMPIO MÓVIL
Aerosoles (5 unidades),PUNTO LIMPIO DE PROXIMIDAD
Goma,RESTO
Restos de carnes o pescados,ORGACNICA
Tippex,ENVASES
Sobres (plástico/papel),PAPEL-CARTON
Recipientes velas vidrio,VIDRIO
"Pilas alcalinas, salinas y baterías usadas",PUNTO LIMPIO FIJO
"Pilas alcalinas, salinas y baterías usadas",PUNTO LIMPIO MÓVIL
"Pilas alcalinas, salinas y baterías usadas",PUNTO LIMPIO DE PROXIMIDAD
Pañales y compresas,RESTO
Papel y cartón sucios de aceite,ORGACNICA
"Cajas de madera, de vino, fresas, puros, estuches…",ENVASES
Envoltorio de pan (de papel),PAPEL-CARTON
Cartuchos de tinta y tóner (4 unidades),PUNTO LIMPIO FIJO
Cartuchos de tinta y tóner (4 unidades),PUNTO LIMPIO MÓVIL
Cartuchos de tinta y tóner (4 unidades),PUNTO LIMPIO DE PROXIMIDAD
"Toallitas húmedas, hilo dental",RESTO
"Cáscaras de huevo, de marisco y frutos secos",ORGACNICA
