ID,CALLE,DISTRITO,CODIGOPOSTAL,COORDENADA-X,COORDENADA-Y
429025.68-4480588.24,"AVENIDA ESTACION, 11",MONCLOA-ARAVACA,28221.0,429025.68,4480588.24
429056.6-4480646.12,"CALLE FEDERICO ORIOL, 12",MONCLOA-ARAVACA,28221.0,429056.6,4480646.12
429083.98-4480673.45,"CALLE ALVARO CABALLERO, 33",MONCLOA-ARAVACA,28221.0,429083.98,4480673.45
429090.77-4480669.53,"CALLE ALVARO CABALLERO, 33",MONCLOA-ARAVACA,28221.0,429090.77,4480669.53
429117.31-4480572.25,"CALLE CUEVAS DEL VALLE, 30",MONCLOA-ARAVACA,28221.0,429117.31,4480572.25
429120.77-4480712.8,"CALLE FERNANDO ORIOL, 12",MONCLOA-ARAVACA,28221.0,429120.77,4480712.8
429136.87-4480648.22,"CALLE ALVARO CABALLERO, 34",MONCLOA-ARAVACA,28221.0,429136.87,4480648.22
429171.75-4480632.02,"CALLE ALVARO CABALLERO, 30",MONCLOA-ARAVACA,28221.0,429171.75,4480632.02
429228.95-4480622.43,"CALLE ALVARO CABALLERO, 24",MONCLOA-ARAVACA,28221.0,429228.95,4480622.43
429250.83-4480658.62,"CALLE DOMINGO ALVAREZ, 4",MONCLOA-ARAVACA,28221.0,429250.83,4480658.62
429258.29-4480718.85,"AVENIDA VICTORIA, 79",MONCLOA-ARAVACA,28224.0,429258.29,4480718.85
429274.75-4480542.79,"CALLE CUEVAS DEL VALLE, 20",MONCLOA-ARAVACA,28221.0,429274.75,4480542.79
429282.48-4480614.7,"CALLE ALVARO CABALLERO, 18",MONCLOA-ARAVACA,28221.0,429282.48,4480614.7
429298.03-4480698.94,"Avenida  Victoria, 77 ",MONCLOA-ARAVACA,28224.0,429298.03,4480698.94
429303.24-4480710.42,"AVENIDA VICTORIA, 132",MONCLOA-ARAVACA,28221.0,429303.24,4480710.42
429329.91-4480682.56,"AVENIDA VICTORIA, 73",MONCLOA-ARAVACA,28023.0,429329.91,4480682.56
429343.87-4480595.95,"CALLE ALVARO CABALLERO, 17",MONCLOA-ARAVACA,28221.0,429343.87,4480595.95
429368.23-4480537.94,"CALLE BURGOHONDO, 8",MONCLOA-ARAVACA,28221.0,429368.23,4480537.94
429381.6-4480656.62,"AVENIDA VICTORIA, 67",MONCLOA-ARAVACA,28023.0,429381.6,4480656.62
429443.31-4480578.53,"CALLE ALVARO CABALLERO, 9",MONCLOA-ARAVACA,28221.0,429443.31,4480578.53
429474.38-4480635.22,"CALLE FEDERICO AGUSTI, 39",MONCLOA-ARAVACA,28221.0,429474.38,4480635.22
429567.67-4480562.49,"AVENIDA VICTORIA, 55",MONCLOA-ARAVACA,28221.0,429567.67,4480562.49
429608.2-4480554.44,"CALLE AURELIO DE LA TORRE, 2",MONCLOA-ARAVACA,28023.0,429608.2,4480554.44
429695.89-4480497.6,"AVENIDA VICTORIA, 47",MONCLOA-ARAVACA,28023.0,429695.89,4480497.6
429706.25-4480494.76,"AVENIDA VICTORIA, 45",MONCLOA-ARAVACA,28023.0,429706.25,4480494.76
429730.13-4480580.97,"CALLE GINES NAVARRO, 4",MONCLOA-ARAVACA,28221.0,429730.13,4480580.97
429837.11-4480305.61,"CARRETERA MONTE DEL PILAR, 1",MONCLOA-ARAVACA,28224.0,429837.11,4480305.61
429852.01-4480535.64,"CALLE RAFAEL VILLA, 63",MONCLOA-ARAVACA,28224.0,429852.01,4480535.64
429910.31-4480404.78,"AVENIDA VICTORIA, 76",MONCLOA-ARAVACA,28224.0,429910.31,4480404.78
430025.36-4480335.7,"AVENIDA VICTORIA, 68",MONCLOA-ARAVACA,28221.0,430025.36,4480335.7
430032.24-4480440.27,"CALLE RAFAEL VILLA, 74",MONCLOA-ARAVACA,28224.0,430032.24,4480440.27
430070.25-4480359.36,"CALLE WALMAN, 1",MONCLOA-ARAVACA,28224.0,430070.25,4480359.36
430101.38-4480405.47,"CALLE RAFAEL VILLA, 35",MONCLOA-ARAVACA,28224.0,430101.38,4480405.47
430107.95-4480303.92,"AVENIDA VICTORIA, 64",MONCLOA-ARAVACA,28224.0,430107.95,4480303.92
430136.41-4480346.98,"CALLE SAINZ DE LA CALLEJA, 10",MONCLOA-ARAVACA,28224.0,430136.41,4480346.98
430166.07-4480381.82,"CALLE RAFAEL VILLA, 58",MONCLOA-ARAVACA,28224.0,430166.07,4480381.82
430186.77-4480601.96,"AVENIDA VASCONGADAS, 3",MONCLOA-ARAVACA,28224.0,430186.77,4480601.96
430192.48-4480431.1,"CALLE SAINZ DE LA CALLEJA, 13",MONCLOA-ARAVACA,28224.0,430192.48,4480431.1
430232.73-4480240.71,"CALLE SEGUNDO ANCA, 1",MONCLOA-ARAVACA,28224.0,430232.73,4480240.71
430267.29-4480308.93,"CALLE SEGUNDO ANCA, 14",MONCLOA-ARAVACA,28224.0,430267.29,4480308.93
430288.52-4480385.88,"CALLE DURANGO, 42",MONCLOA-ARAVACA,28224.0,430288.52,4480385.88
430293.61-4480209.87,"AVENIDA VICTORIA, 50",MONCLOA-ARAVACA,28224.0,430293.61,4480209.87
430334.31-4480276.43,"CALLE RAFAEL VILLA, 17",MONCLOA-ARAVACA,28224.0,430334.31,4480276.43
430364.04-4480186.35,"CALLE PILAR ANDRADE, 2",MONCLOA-ARAVACA,28224.0,430364.04,4480186.35
430364.36-4480334.95,"CALLE DURANGO, 35",MONCLOA-ARAVACA,28224.0,430364.36,4480334.95
