ID;DISTRITOS;ESCUELAS INFANTILES;DIRECCIÓN;C.P.;EMPRESA GESTORA
;;;;;
1;Centro;La Paloma ;C/ Tabernillas, 2;28005;Gestión Municipal
2;Centro;El Duende;Plaza de Dos de Mayo, 2;28004;"Clece S.A.
"
3;Centro;Osa Menor;C/ Mejía Lequerica, 21;28004;"Sociedad.Cooperativa.Madrileña. MEI.
"
4;Centro;El Olivar;C/ Olivar,48;28012;"El Piso de debajo de la Escuela, S.L.L. 
"
5;Centro;Escuelas de San Antón;C/ Farmacia, 13;28004;"Sociedad.Cooperativa.Madrileña. MEI.
"
6;Centro;La Bruja Avería-Lolo Rico;C/ Rodas, 22;28005;Escuela Infantil Caperucita S.L.
7;Arganzuela;El Alba;C/ Toledo, 181;28005;"Grupo Escuela Creativa, S.C.L.
"
8;Arganzuela;El Bosque;C/ Delicias, 32 ;28045;"Centros Educativos La Laguna, S.L 
"
9;Arganzuela;El Barberillo de Lavapies;C/ Granito, 32;28045;"Futur i Compromís amb l'Educació S.L 
"
10;Arganzuela;La Melonera;C/ Eros, 2;28045;"El Arbol Cueva S.L.
"
11;Retiro ;Las Nubes;C/ Antonio de Nebrija,7;28007;"No me bajo de las nubes 
"
12;Retiro ;El Tren de Arganda;Plaza Doctor Laguna, 11;28009;Promoción de la Formación Las Palmas
13;Retiro ;Margarita Salas;C/ Cavanilles , 58;28007;"No me bajo de las nubes 
"
14;Salamanca;Ruiz Jiménez ;C/ José Picón, 17;28028;"AMMA Educación Integral, S.L
"
15;Chamartín ;Luis Bello ;C/ Juan Bautista de Toledo, 5;28002;"Coop.Educativa Madrileña Círculos
"
16;Chamartín ;El Sol               ;C/ Enrique Jardiel Poncela, 8;28016;Gestión Municipal
17;Tetuán;Agua Dulce ;C/ Leñeros, 25;28039;"La Flauta Dulce, S.L.L
"
18;Tetuán;La Brisa;Avda. de Asturias, 72;28029;"Aprende jugando en la Escuela, S.L.
"
19;Tetuán;Campanilla;C/ Ávila, 4;28020;"De la cuna a la luna, S.C.
"
20;Tetuán; Los Gavilanes;C/ Tiziano, 7;28020;"AMMA Educación Integral, S.L
"
21;Chamberí;Fernando El Católico;C/ Fernando El Católico, 16;28015;"El Globo Rojo S.Coop. Mad.
"
22;Fuencarral-El Pardo;La Caracola ;C/ Belorado, s/n.;28034;"Calidad educativa S.L 
"
23;Fuencarral-El Pardo;La Corte de Faraón;C/ Chantada, 41 A;28035;"Arcinature Intervención Social S.L.U. 
"
24;Fuencarral-El Pardo;La Rosa del Azafrán ;C/ Cueva de Montesinos, 2;28034;Promoción de la Formación Las Palmas 
25;Fuencarral-El Pardo;El Fresno;C/ Senda del Infante, c/v C/ María Casares, 15;28035;Edugest Formación Educativa S.L.   
26;Fuencarral-El Pardo;Poeta Gloria Fuertes ;C/ Eunate, 6;28050;Edugest Formación Educativa S.L.   
27;Fuencarral-El Pardo;Elena Fortún;Avda. Monasterio de Silos, 57 ;28049;Edugest Formación Educativa S.L.   
28;Moncloa-Aravaca ;Las Viñas;C/ Estudio, 6 ;28023;"Profeduca, S.L.
"
29;Moncloa-Aravaca ;La Bola de Cristal;C/ Islas Bisagos, 13;28039;Edugest Formación Educativa S.L.    
30;Moncloa-Aravaca ;Antonio Mercero;Avda.Valladolid, 49 B;28008;"Grupo Escuela S.C.M
"
31;"
 Latina
";El Manantial;C/ Carlos Fuentes S/N;28047;"Grupo 3 Educacolax 
"
32;"
 Latina
";Altair ;C/ José de Cadalso, 43;28044;"Coop.Educativa Madrileña Círculos
"
33;"
 Latina
";La Verbena de la Paloma ;C/ Fuerte de Navidad, 17;28044;"Arcinature Intervención Social, S.L.U. 
"
34;"
 Latina
";La del Soto del Parral ;C/ Trompas, 19-21;28054;"Soc. Coop. Madrileña Tic Tac 
"
35;Carabanchel;Las Amapolas ;C/ Óbolo, 14;28054;"Gestión de EE.II. S.L (Grupo Educativo) 
"
36;Carabanchel;La Patria Chica;C/ Patrimonio de la Humanidad, 31;28054;"Petirrojo Madrid S.L.
"
37;Usera ;La Cornisa ;C/ Cristo de la Victoria, 23 ;28026;"Petirrojo S.L.L 
"
38;Usera ;La Oliva    ;C/ Gainza, 46;28041;"Clima Educación Infantil
"
39;Usera ;Pensamiento;C/ Mirasierra, 27;28026;"Educación en Acción S.C.M.
"
40;Puente de Vallecas;El Caserío;C/ María Teresa Robledo nº 3;28018;"Caracol Mágico, S.L.
"
41;Puente de Vallecas;Luisa Fernanda;C/ Cocherón de la Villa, 29;28031;"E.I. Los Gorriones S.A
"
42;Moratalaz ;El Lirón ;C/ Pico de Artilleros, 123;28030;"Pimamaju S.Coop Madrileña
"
43;Moratalaz ;Sabina;C/ Cañón del Río Lobos, 2;28030;"E.I. Los Gorriones S.A
"
44;C. Lineal;Veo veo;C/ Condesa de Venadito, 3;28027;"Arcinature Intervención Social, S.L.U. 
"
45;C. Lineal;Las Azaleas ;C/ Portugalete, 6 ;28017;"Zahir Infancia S.L.
"
46;C. Lineal;Gigantes y Cabezudos;C/ Rafael Bergamín, 28;28043;Promoción de la Formación Las Palmas 
47;C. Lineal;Tarabilla ;C/ Gandhi, 14;28017;"Educaula, S.C.L.
"
48;Hortaleza;Ana de Austria;C/ Ana de Austria, 32;28050;"Desarrollos Educativos, S.L.U. 
"
49;Hortaleza;La Gran Vïa;C/ Silvano, 99;28043;"Desarrollos Educativos, S.L.U. 
"
50;Hortaleza;Doña Francisquita;C/ Cambados, 1;28050;"Desarrollos Educativos, S.L.U. 
"
51;Hortaleza;Las Pléyades;C/ Secundino Zuazo, 34;28055;"Desarrollos Educativos, S.L.U. 
"
52;Hortaleza;La Ardilla;C/ Príncipe Carlos c/v Pintor Ignacio Zuloaga;28050;"Clima Educación Infantil
"
53;Villaverde;La Luna;C/ Benimamet, 109 ;28021;"Clece S.A.
"
54;Villaverde;El Rocío ;Ctra de Carabanchel a Villaverde, 107;28025;"Escuela Infantil Castellana S.A.L. 
"
55;Villaverde;Los Pinos;C/ Rocafort, 2;28021;"Clece S.A.
"
56;Villaverde;El Mamut;C/ Ganados del Salobral, 7;28021;"C.I.E. Soc. Coop. Madrileña
"
57;Villaverde;Parque Ingenieros;C/ Tabernera del Puerto, 26;28041;Delta Juegos
58;Villa de Vallecas;La Revoltosa;C/ José Antonio Rebolledo y Palma, 18;28031;"Ludico Soc. Coop. Mad. 
"
59;Villa de Vallecas;Los sobrinos del Capitán Grant ;Avda. de la Gavia, 22;28051;"E.I. Los Compañeros S.A.L.
 "
60;Vicálvaro;Los Juncos;Plaza de la Juventud, 7;28032;"Pulgarcito S.C.M.
"
61;Vicálvaro;Cielo Azul ;C/ Indalecio Prieto, 16 Local 10;28032;"Educaula, S.C.M. 
"
62;Vicálvaro;Amanecer;C/ Titanio, 7;28032;"Arcinature Intervención Social, S.L.U.
"
63;Vicálvaro;Molinos de Viento;Cº de la Fuente de Arriba, 4;28032;"Educación Infantil El Corro, S.L.
"
64;San Blas-Canillejas;Hiedra;C/ Amposta, s/n;28037;"Pulgarcito, S.C.M.
"
65;San Blas-Canillejas;Las Mercedes;C/ Samaniego, 22;28022;"Educación Compartida S.L.
"
66;San Blas-Canillejas;La Alegría de la Huerta;C/ Helsinki, 2;28022;"Edugest, Formación Educativa, S.L. 
"
67;San Blas-Canillejas;La del Manojo de Rosas;C/ Rávena, 12;28032;"Arcinature Intervención Social, S.L.U. 
"
68;San Blas-Canillejas;Las Leandras;Ctra. Acceso a la Estación de O´donnell c/v Deyanira nº 2 A;28022;"UTE Zahir y Edugest
"
69;Barajas;La Chulapona ;C/ Bahía de Palma,13;28042;"Clece S.A.
"
70;Barajas;El Bateo;C/ Pinos de Osuna, 3;28042;"Desarrollos Educativos, S.L.U.
"
71;Barajas;La Colina;C/ Ntra Sra.de Araceli, s/n;28042;"UTE Zahir y Edugest
"
